14.02.2022 11:36:28.221 INFO  - Start parsing: https://bank.gov.ua/ua/statistic/nbureport/regindicator-statreport/files-21 ...
14.02.2022 11:36:29.305 DEBUG - tr:1
14.02.2022 11:36:29.306 DEBUG - 	td0:Балансова звітність банків
14.02.2022 11:36:29.320 DEBUG - 	td:9:26.04.2019
14.02.2022 11:36:29.320 DEBUG - 	td:10:Controls
14.02.2022 11:36:29.321 DEBUG - 	td:11:ta4x
14.02.2022 11:36:29.321 DEBUG - tr:9
14.02.2022 11:36:29.321 DEBUG - 	td0:D5X
14.02.2022 11:36:29.321 DEBUG - 	td:1:D5X
14.02.2022 11:36:29.321 DEBUG - 	td:2:"Дані про кредити (за класифікаціями видів кредитів та контрагентів)"
14.02.2022 11:36:29.321 DEBUG - 	td:3:30.04.2021
14.02.2022 11:36:29.321 DEBUG - 	td:4:Registry
14.02.2022 11:36:29.322 DEBUG - 	td:5:06.02.2020
14.02.2022 11:36:29.322 DEBUG - 	td:6:Domain_List
14.02.2022 11:36:29.322 DEBUG - 	td:7:30.09.2021
14.02.2022 11:36:29.322 DEBUG - 	td:8:Description
14.02.2022 11:36:29.322 DEBUG - 	td:9:26.01.2021
14.02.2022 11:36:29.322 DEBUG - 	td:10:Controls
14.02.2022 11:36:29.322 DEBUG - 	td:11:zd51x, zd52x
14.02.2022 11:36:29.323 DEBUG - tr:10
14.02.2022 11:36:29.323 DEBUG - 	td0:31.12.2021
14.02.2022 11:36:29.323 DEBUG - 	td:1:31.12.2021
14.02.2022 11:36:29.323 DEBUG - 	td:2:'Registry (зі звітної дати 01.02.2022)
14.02.2022 11:36:29.323 DEBUG - 	td:3:31.12.2021
14.02.2022 11:36:29.323 DEBUG - 	td:4:'Description (зі звітної дати 01.02.2022)
14.02.2022 11:36:29.324 DEBUG - tr:11
14.02.2022 11:36:29.324 DEBUG - 	td0:D6X
14.02.2022 11:36:29.324 DEBUG - 	td:1:D6X
14.02.2022 11:36:29.324 DEBUG - 	td:2:"Дані про депозити (за класифікаціями видів депозитів та контрагентів)"
14.02.2022 11:36:29.324 DEBUG - 	td:3:29.06.2021
14.02.2022 11:36:29.324 DEBUG - 	td:4:Registry
14.02.2022 11:36:29.324 DEBUG - 	td:5:20.04.2018
14.02.2022 11:36:29.324 DEBUG - 	td:6:Domain_List
14.02.2022 11:36:29.325 DEBUG - 	td:7:05.02.2019
14.02.2022 11:36:29.325 DEBUG - 	td:8:Description
14.02.2022 11:36:29.325 DEBUG - 	td:9:30.10.2020
14.02.2022 11:36:29.325 DEBUG - 	td:10:Controls
14.02.2022 11:36:29.326 DEBUG - 	td:11:zd6x
14.02.2022 11:36:29.326 DEBUG - tr:12
14.02.2022 11:36:29.326 DEBUG - 	td0:31.12.2021
14.02.2022 11:36:29.326 DEBUG - 	td:1:31.12.2021
14.02.2022 11:36:29.326 DEBUG - 	td:2:'Registry (зі звітної дати 01.02.2022)
14.02.2022 11:36:29.326 DEBUG - tr:13
14.02.2022 11:36:29.326 DEBUG - 	td0:Реєстраційні питання та ліцензування
14.02.2022 11:36:29.327 DEBUG - 	td:1:48X
14.02.2022 11:36:29.327 DEBUG - 	td:2:"Дані про двадцять найбільших учасників банку"
14.02.2022 11:36:29.327 DEBUG - 	td:3:22.11.2019
14.02.2022 11:36:29.327 DEBUG - 	td:4:Registry
14.02.2022 11:36:29.327 DEBUG - 	td:5:22.06.2018
14.02.2022 11:36:29.327 DEBUG - 	td:6:Domain_List
14.02.2022 11:36:29.327 DEBUG - 	td:7:
14.02.2022 11:36:29.328 DEBUG - 	td:8:
14.02.2022 11:36:29.328 DEBUG - 	td:9:22.11.2019
14.02.2022 11:36:29.328 DEBUG - 	td:10:Controls
14.02.2022 11:36:29.328 DEBUG - 	td:11:t48x
14.02.2022 11:36:29.328 DEBUG - tr:14
14.02.2022 11:36:29.328 DEBUG - 	td0:Банківський нагляд
14.02.2022 11:36:29.329 DEBUG - 	td:1:26X
